model_group,seed,threshold,threshold_method,ensemble_members,ensemble_weighting,n_subjects,n_seeds,exploratory,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,tn,fp,fn,tp,roc_auc,pr_auc
no_ssl_wpli_equal_weight,7,0.5351584106683731,leave_one_seed_out_oof,no_ssl+wpli,equal,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.1507462203916619,6,3,1,9,0.9555555555555556,0.9669230769230769
no_ssl_wpli_equal_weight,13,0.5351584106683731,leave_one_seed_out_oof,no_ssl+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18057731061301402,6,3,0,10,0.8555555555555556,0.868034188034188
no_ssl_wpli_equal_weight,21,0.49971437454223633,leave_one_seed_out_oof,no_ssl+wpli,equal,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19431091677955892,5,4,0,10,0.8555555555555556,0.8774281274281274
no_ssl_wpli_equal_weight,42,0.49971437454223633,leave_one_seed_out_oof,no_ssl+wpli,equal,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19200577879134587,5,4,0,10,0.8444444444444446,0.8514757464757464
no_ssl_psd_wpli_equal_weight,0,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.21823923884139995,5,4,2,8,0.8,0.8328310578310577
no_ssl_psd_wpli_equal_weight,1,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.20533616485489484,6,3,0,10,0.7222222222222223,0.6976265401265401
no_ssl_psd_wpli_equal_weight,2,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1593242419844983,6,3,0,10,0.8555555555555556,0.8190262515262515
no_ssl_psd_wpli_equal_weight,3,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18871720035387496,6,3,0,10,0.8444444444444446,0.8636979686979686
no_ssl_psd_wpli_equal_weight,4,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.21016407189319908,6,3,1,9,0.7666666666666666,0.7689177489177488
no_ssl_psd_wpli_equal_weight,5,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17468130194845954,6,3,0,10,0.8444444444444446,0.8480341880341881
no_ssl_psd_wpli_equal_weight,7,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.14735003986725922,6,3,0,10,0.9555555555555556,0.9669230769230769
no_ssl_psd_wpli_equal_weight,13,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18602841527991806,6,3,0,10,0.8555555555555556,0.868034188034188
no_ssl_psd_wpli_equal_weight,21,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19816972893435622,5,4,0,10,0.8333333333333334,0.8488566988566988
no_ssl_psd_wpli_equal_weight,42,0.5,fixed_0.5,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1983526059721093,6,3,0,10,0.8444444444444446,0.8514757464757464
no_ssl_psd_wpli_equal_weight,0,0.5,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.21823923884139995,5,4,2,8,0.8,0.8328310578310577
no_ssl_psd_wpli_equal_weight,1,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.20533616485489484,6,3,0,10,0.7222222222222223,0.6976265401265401
no_ssl_psd_wpli_equal_weight,2,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1593242419844983,6,3,0,10,0.8555555555555556,0.8190262515262515
no_ssl_psd_wpli_equal_weight,3,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18871720035387496,6,3,0,10,0.8444444444444446,0.8636979686979686
no_ssl_psd_wpli_equal_weight,4,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.21016407189319908,6,3,1,9,0.7666666666666666,0.7689177489177488
no_ssl_psd_wpli_equal_weight,5,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17468130194845954,6,3,0,10,0.8444444444444446,0.8480341880341881
no_ssl_psd_wpli_equal_weight,7,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.14735003986725922,6,3,0,10,0.9555555555555556,0.9669230769230769
no_ssl_psd_wpli_equal_weight,13,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18602841527991806,6,3,0,10,0.8555555555555556,0.868034188034188
no_ssl_psd_wpli_equal_weight,21,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19816972893435622,5,4,0,10,0.8333333333333334,0.8488566988566988
no_ssl_psd_wpli_equal_weight,42,0.4998276034990946,leave_one_seed_out_oof,no_ssl+psd+wpli,equal,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1983526059721093,6,3,0,10,0.8444444444444446,0.8514757464757464
